Country,Year,Precipitation,Temperature,Ocurrences
ABW,1991,38.88296833333334,28.078008333333333,0.0
AFG,1991,36.931453333333344,13.118033333333331,0.0
AGO,1991,83.8449475,21.652199999999997,0.0
AIA,1991,113.63115833333335,26.108291666666663,0.0
ALB,1991,77.58703333333334,11.038935,0.0
ARG,1991,52.79295833333333,14.416430833333335,0.0
ASM,1991,263.30791666666664,26.87996666666666,0.0
ATG,1991,183.33971666666665,26.413641666666663,0.0
AUS,1991,37.91295333333333,22.172074999999996,31.0
AUT,1991,94.34331666666668,6.151395000000001,0.0
BEL,1991,64.01754166666667,9.659015833333333,0.0
BEN,1991,101.09564916666666,27.409108333333332,0.0
BFA,1991,70.22452333333332,28.33005,0.0
BGD,1991,224.33851666666666,24.931258333333332,0.0
BGR,1991,54.21883333333334,9.996003333333332,0.0
BHS,1991,113.66785,25.527074999999996,0.0
BIH,1991,96.65499166666666,9.206975,0.0
BLZ,1991,167.556475,25.761574999999997,0.0
BMU,1991,125.0,22.549975,0.0
BOL,1991,92.17440666666668,21.20791666666667,0.0
BRA,1991,139.38148333333334,25.10011666666666,2.0
BRB,1991,157.37934166666668,26.554125,0.0
BRN,1991,219.24154166666665,25.674699999999998,0.0
BTN,1991,176.55424333333335,11.65761,0.0
CAF,1991,114.75823666666668,25.05418333333333,0.0
CAN,1991,39.20298333333333,-6.4511474999999985,0.0
CHE,1991,110.2624,6.804890833333334,0.0
CHN,1991,47.41105000000001,6.572946666666667,0.0
CIV,1991,103.57510833333333,26.424899999999997,0.0
CMR,1991,127.40135500000002,24.658391666666663,0.0
COG,1991,130.30255833333334,24.488583333333334,0.0
COK,1991,146.07645833333336,24.4676,0.0
COL,1991,173.87368333333336,24.54563333333333,1.0
COM,1991,184.7276841666667,25.374883333333333,0.0
CRI,1991,245.32860833333334,51.06035000000001,0.0
CUB,1991,105.26750833333334,25.93995,0.0
CYM,1991,97.8332333333333,27.433308333333333,0.0
CZE,1991,48.85600833333333,7.719414166666667,0.0
DEU,1991,49.70692499999999,8.946487500000002,0.0
DJI,1991,15.486106666666666,27.94881666666667,0.0
DMA,1991,268.61466666666666,25.20850833333333,0.0
DOM,1991,95.12782499999999,24.17814999999999,0.0
DZA,1991,8.037638333333332,22.303541666666664,0.0
ESP,1991,44.16800833333334,13.39951,0.0
FJI,1991,223.55636666666666,24.151858333333337,4.0
FRA,1991,58.51955833333333,10.9549175,0.0
GAB,1991,148.99569166666663,24.87451666666667,0.0
GEO,1991,65.70889166666667,6.485589999999999,0.0
GHA,1991,108.76535249999999,27.338941666666667,0.0
GIN,1991,129.693565,25.946791666666666,0.0
GLP,1991,260.63599999999997,25.532666666666668,0.0
GMB,1991,64.66284916666667,27.781716666666668,0.0
GRC,1991,51.19604166666667,13.115936666666668,0.0
GRD,1991,124.25821666666666,27.258316666666662,0.0
GTM,1991,202.31663333333336,23.891841666666664,0.0
GUF,1991,218.72751666666667,25.670833333333334,1.0
GUM,1991,635.4784166666667,27.927066666666665,0.0
GUY,1991,186.15532499999998,25.818158333333333,0.0
HND,1991,134.08994166666665,24.07410833333334,0.0
HRV,1991,88.85043333333334,10.258930000000001,0.0
HTI,1991,66.07105416666667,25.056216666666668,0.0
IDN,1991,208.16013333333333,26.119225,0.0
IND,1991,83.86938333333332,24.220583333333327,1.0
ISR,1991,33.155024999999995,19.491600000000002,0.0
ITA,1991,74.369725,11.6815675,17.0
JAM,1991,120.73113333333333,25.097808333333337,0.0
JPN,1991,151.51319166666664,11.345288333333334,0.0
KEN,1991,48.26209166666667,24.632491666666667,0.0
KHM,1991,135.94398666666666,27.71578333333333,0.0
KIR,1991,118.27603333333333,118.27603333333333,0.0
KNA,1991,164.41625000000002,25.497899999999998,0.0
KOR,1991,116.565375,11.025025,0.0
LAO,1991,129.68098999999998,129.68098999999998,0.0
LBN,1991,62.763098333333325,15.900432499999999,0.0
LBR,1991,201.81050833333336,25.457858333333334,0.0
LCA,1991,209.27544166666667,26.605525,0.0
LKA,1991,137.06705000000002,27.063824999999998,0.0
MAC,1991,139.3112125,23.240849999999995,1.0
MDG,1991,115.98961666666668,23.280424999999997,0.0
MDV,1991,174.92356666666663,28.17554166666667,0.0
MEX,1991,63.625225,21.018241666666665,1.0
MHL,1991,283.34250000000003,27.783175,0.0
MLT,1991,37.22073,18.638091666666664,0.0
